model,g_avail,J_ATP,J_ATP_glyc,J_ATP_resp,frac_glyc,phi_G,phi_R,phenotype,eps_ratio,organism
Model A (Shen LP),1e-06,2.6e-05,0.0,2.6e-05,0.0,-0.0,0.26,respiration,inf,ecoli
Model A (Shen LP),0.0005009966555183947,0.013025913043478263,0.0,0.013025913043478263,0.0,-0.0,0.26,respiration,inf,ecoli
Model A (Shen LP),0.0010009933110367894,0.026025826086956524,0.0,0.026025826086956524,0.0,-0.0,0.26,respiration,inf,ecoli
Model A (Shen LP),0.001500989966555184,0.033459392549428056,0.00046386221508389454,0.03299553033434416,0.01386343802860891,0.0010083961197475968,0.25899160388025244,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.002000986622073579,0.03419817037095367,0.0014856234835799484,0.032712546887373725,0.04344160718146979,0.0032296162686520614,0.2567703837313479,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.0025009832775919737,0.03493694819247929,0.002507384752076002,0.03242956344040329,0.07176885451648449,0.0054508364175565255,0.25454916358244345,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.0030009799331103685,0.03567572601400492,0.003529146020572055,0.032146579993432865,0.09892289281475723,0.007672056566460988,0.252327943433539,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.003500976588628763,0.03641450383553054,0.004550907289068109,0.03186359654646243,0.12497512830664123,0.009893276715365454,0.25010672328463446,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.004000973244147158,0.03715328165705617,0.005572668557564162,0.031580613099492005,0.14999128768765968,0.012114496864269917,0.24788550313573002,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.004500969899665553,0.03789205947858179,0.006594429826060215,0.03129762965252158,0.17403197178521446,0.01433571701317438,0.24566428298682558,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.005000966555183947,0.038630837300107426,0.007616191094556267,0.03101464620555116,0.19715314569521608,0.01655693716207884,0.24344306283792122,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.005500963210702342,0.039369615121633054,0.00863795236305232,0.030731662758580733,0.2194065737337088,0.018778157310983302,0.24122184268901675,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.006000959866220737,0.04010839294315868,0.009659713631548373,0.030448679311610306,0.2408402063188632,0.020999377459887766,0.2390006225401123,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.0065009565217391315,0.04084717076468429,0.010681474900044428,0.03016569586463986,0.2614985248691798,0.023220597608792234,0.2367794023912077,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.007000953177257526,0.04158594858620991,0.01170323616854048,0.029882712417669433,0.2814228499388211,0.025441817757696696,0.23455818224230324,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.007500949832775921,0.04232472640773554,0.012724997437036534,0.029599728970699006,0.30065161708194366,0.02766303790660116,0.2323369620933988,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.008000946488294315,0.04306350422926117,0.013746758705532585,0.02931674552372858,0.3192206243214136,0.029884258055505618,0.23011574194449436,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.00850094314381271,0.04380228205078679,0.01476851997402864,0.029033762076758153,0.33716325457438956,0.032105478204410086,0.22789452179558992,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.009000939799331104,0.04454105987231242,0.01579028124252469,0.028750778629787727,0.35451067594240687,0.03432669835331455,0.22567330164668545,mixed,0.2769565217391305,ecoli
Model A (Shen LP),0.009500936454849498,0.045279837693838046,0.016812042511020742,0.0284677951828173,0.3712920223940782,0.036547918502219,0.223452081497781,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.010000933110367894,0.04601861551536367,0.017833803779516797,0.028184811735846874,0.38753455704383033,0.03876913865112347,0.22123086134887657,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.01050092976588629,0.0467573933368893,0.018855565048012852,0.027901828288876447,0.4032638199515868,0.04099035880002794,0.21900964119997213,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.011000926421404683,0.047496171158414924,0.019877326316508903,0.02761884484190602,0.4185037621287758,0.0432115789489324,0.21678842105106766,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.011500923076923077,0.048234948979940545,0.020899087585004954,0.027335861394935594,0.4332768672295321,0.04543279909783685,0.21456720090216322,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.012000919732441473,0.04897372680146614,0.021920848853501013,0.027052877947965123,0.4476042622274922,0.04765401924674133,0.21234598075325842,mixed,0.27695652173913043,ecoli
