Vgamma_G_capacity,Vgamma_R_capacity,Vgamma_G_realized,Vgamma_R_realized,rho_capacity,rho_realized,margin,verdict_capacity,verdict_realized,u_G,u_R,organism
0.46,0.12739999999999999,0.46,0.12739999999999999,0.2769565217391304,0.2769565217391304,-0.3326,glycolysis,glycolysis,1.0,1.0,ecoli
0.46,0.12739999999999999,0.459087374749499,0.12739999999999999,0.2769565217391304,0.2775070869015202,-0.33168737474949905,glycolysis,glycolysis,0.9980160320641283,1.0,ecoli
0.46,0.12739999999999999,0.458174749498998,0.12739999999999999,0.2769565217391304,0.2780598453740817,-0.330774749498998,glycolysis,glycolysis,0.9960320641282565,1.0,ecoli
0.46,0.12739999999999999,0.457262124248497,0.12739999999999999,0.2769565217391304,0.2786148102893496,-0.32986212424849704,glycolysis,glycolysis,0.9940480961923848,1.0,ecoli
0.46,0.12739999999999999,0.456349498997996,0.12739999999999999,0.2769565217391304,0.27917199488491046,-0.32894949899799597,glycolysis,glycolysis,0.992064128256513,1.0,ecoli
0.46,0.12739999999999999,0.45543687374749503,0.12739999999999999,0.2769565217391304,0.27973141250445516,-0.328036873747495,glycolysis,glycolysis,0.9900801603206413,1.0,ecoli
0.46,0.12739999999999999,0.454524248496994,0.12739999999999999,0.2769565217391304,0.28029307659884406,-0.32712424849699406,glycolysis,glycolysis,0.9880961923847695,1.0,ecoli
0.46,0.12739999999999999,0.453611623246493,0.12739999999999999,0.2769565217391304,0.2808570007271853,-0.326211623246493,glycolysis,glycolysis,0.9861122244488978,1.0,ecoli
0.46,0.12739999999999999,0.452698997995992,0.12739999999999999,0.2769565217391304,0.2814231985579255,-0.32529899799599205,glycolysis,glycolysis,0.984128256513026,1.0,ecoli
0.46,0.12739999999999999,0.451786372745491,0.12739999999999999,0.2769565217391304,0.28199168386995466,-0.324386372745491,glycolysis,glycolysis,0.9821442885771543,1.0,ecoli
0.46,0.12739999999999999,0.45087374749499,0.12739999999999999,0.2769565217391304,0.2825624705537233,-0.32347374749499,glycolysis,glycolysis,0.9801603206412826,1.0,ecoli
0.46,0.12739999999999999,0.449961122244489,0.12739999999999999,0.2769565217391304,0.28313557261237443,-0.32256112224448896,glycolysis,glycolysis,0.9781763527054108,1.0,ecoli
0.46,0.12739999999999999,0.44904849699398797,0.12739999999999999,0.2769565217391304,0.28371100416288814,-0.321648496993988,glycolysis,glycolysis,0.9761923847695391,1.0,ecoli
0.46,0.12739999999999999,0.448135871743487,0.12739999999999999,0.2769565217391304,0.2842887794372412,-0.32073587174348706,glycolysis,glycolysis,0.9742084168336673,1.0,ecoli
0.46,0.12739999999999999,0.447223246492986,0.12739999999999999,0.2769565217391304,0.2848689127835801,-0.319823246492986,glycolysis,glycolysis,0.9722244488977956,1.0,ecoli
0.46,0.12739999999999999,0.446310621242485,0.12739999999999999,0.2769565217391304,0.285451418667409,-0.31891062124248504,glycolysis,glycolysis,0.9702404809619238,1.0,ecoli
0.46,0.12739999999999999,0.445397995991984,0.12739999999999999,0.2769565217391304,0.28603631167279175,-0.317997995991984,glycolysis,glycolysis,0.9682565130260521,1.0,ecoli
0.46,0.12739999999999999,0.444485370741483,0.12739999999999999,0.2769565217391304,0.28662360650356944,-0.317085370741483,glycolysis,glycolysis,0.9662725450901803,1.0,ecoli
0.46,0.12739999999999999,0.44357274549098197,0.12739999999999999,0.2769565217391304,0.2872133179845922,-0.31617274549098195,glycolysis,glycolysis,0.9642885771543086,1.0,ecoli
