parameter,mu_star,sigma,mu_star_conf,organism,output
u_G,0.4039572656249999,0.12857449897486573,0.010696640782961758,ecoli,margin
V_glyc,0.15960562500000003,0.10398605361668,0.008131004700445426,ecoli,margin
gamma_glyc,0.15630656249999994,0.09882481528713433,0.008784550844770023,ecoli,margin
V_resp,0.07661915625000007,0.017108280145622323,0.0014880957620305127,ecoli,margin
gamma_resp,0.07614140625000002,0.01697239647454186,0.0016460119723081892,ecoli,margin
Phi,0.0,0.0,0.0,ecoli,margin
u_G,0.8079145312499998,0.2571489979497315,0.02228280580920269,yeast,margin
V_glyc,0.3192112500000001,0.20797210723336007,0.018066734767307028,yeast,margin
gamma_glyc,0.3126131249999998,0.1976496305742687,0.015422043945636689,yeast,margin
V_resp,0.13291078125000008,0.029677628824038734,0.0027073071551816713,yeast,margin
gamma_resp,0.13208203124999998,0.0294419122517563,0.0027452070820018046,yeast,margin
Phi,0.0,0.0,0.0,yeast,margin
u_G,0.6849710156249992,0.21801762869651148,0.019867096507823766,mammalian,margin
V_glyc,0.2706356249999997,0.1763241778717617,0.016189142751094624,mammalian,margin
gamma_glyc,0.2650415624999998,0.16757251287818417,0.014004259038996079,mammalian,margin
V_resp,0.07697999999999983,0.01718885289356094,0.0016259116182120953,mammalian,margin
gamma_resp,0.07649999999999997,0.017052329267985545,0.0013168904255243413,mammalian,margin
Phi,0.0,0.0,0.0,mammalian,margin
