parameter,S1,S1_conf,ST,ST_conf,organism,output
V_resp,0.49340578531823753,0.06408557623618459,0.5082268467939234,0.04670192429211967,ecoli,g_star
Phi,0.4931981532811297,0.057066460424759914,0.5074124396530612,0.043057950598563495,ecoli,g_star
gamma_resp,0.0,0.0,0.0,0.0,ecoli,g_star
gamma_glyc,0.0,0.0,0.0,0.0,ecoli,g_star
V_glyc,0.0,0.0,0.0,0.0,ecoli,g_star
V_resp,0.4934057853182373,0.06408557623618454,0.5082268467939233,0.04670192429211964,yeast,g_star
Phi,0.4931981532811298,0.05706646042475993,0.5074124396530612,0.04305795059856356,yeast,g_star
gamma_resp,0.0,0.0,0.0,0.0,yeast,g_star
gamma_glyc,0.0,0.0,0.0,0.0,yeast,g_star
V_glyc,0.0,0.0,0.0,0.0,yeast,g_star
V_resp,0.49340578531823753,0.06408557623618452,0.5082268467939235,0.046701924292119584,mammalian,g_star
Phi,0.49319815328112954,0.05706646042475986,0.5074124396530609,0.043057950598563495,mammalian,g_star
gamma_resp,0.0,0.0,0.0,0.0,mammalian,g_star
gamma_glyc,0.0,0.0,0.0,0.0,mammalian,g_star
V_glyc,0.0,0.0,0.0,0.0,mammalian,g_star
