parameter,S1,S1_conf,ST,ST_conf,organism,output
u_G,0.38372724537615327,0.08431301739046261,0.6332105527610102,0.06875898311567254,ecoli,lp_frac_glyc
gamma_resp,0.17982466135867206,0.05336510124492391,0.3009686164201849,0.040865316227542206,ecoli,lp_frac_glyc
gamma_glyc,0.1783085213103951,0.04420632613102381,0.2899371359611016,0.05006325561914737,ecoli,lp_frac_glyc
V_glyc,0.005012734649331551,0.03292931962023545,0.1493449399576173,0.03832146124345363,ecoli,lp_frac_glyc
V_resp,0.004584549875606798,0.02559626177007939,0.135333173184924,0.03365976674939266,ecoli,lp_frac_glyc
Phi,4.351516658832876e-17,5.189605292313781e-17,3.374774067498676e-31,4.023414438671493e-32,ecoli,lp_frac_glyc
u_G,0.33706211614672354,0.07643580066270328,0.6058423856247711,0.06509065841102599,yeast,lp_frac_glyc
gamma_resp,0.20158825190861268,0.05605887393896092,0.3428611107741371,0.05368694256559868,yeast,lp_frac_glyc
gamma_glyc,0.1902898755749613,0.046104210787824,0.3100577765908982,0.059563055727384864,yeast,lp_frac_glyc
V_resp,-0.0032173828038583267,0.03680051319980363,0.15404227143956403,0.038942576133921325,yeast,lp_frac_glyc
V_glyc,0.025679092365832296,0.03966890083733832,0.1482293853166409,0.03928982832058989,yeast,lp_frac_glyc
Phi,2.4300558122971635e-17,7.026717759669402e-17,4.791194255001377e-31,5.776907074151806e-32,yeast,lp_frac_glyc
gamma_resp,0.27059684297778164,0.059621693838293986,0.4292624897087219,0.07866201601240856,mammalian,lp_frac_glyc
u_G,0.1708736621493397,0.08653504285773007,0.39471802970763825,0.06221215105932349,mammalian,lp_frac_glyc
gamma_glyc,0.24022758795895047,0.046534049623496235,0.34065400678217833,0.05247431008265865,mammalian,lp_frac_glyc
V_resp,0.010125267821272786,0.04513640414170813,0.13609205524306672,0.05833891244391292,mammalian,lp_frac_glyc
V_glyc,-0.004418950798270877,0.031440284068743336,0.13036593765957105,0.051125526695575886,mammalian,lp_frac_glyc
Phi,-3.073743331180319e-17,7.844904689245235e-17,7.321765886749719e-31,1.0402913191482642e-31,mammalian,lp_frac_glyc
