parameter,S1,S1_conf,ST,ST_conf,organism,output
u_G,0.7190394806933743,0.07410143236899212,0.7665895427152212,0.07150640880748853,ecoli,margin
V_glyc,0.0946026876576437,0.025838500546121863,0.12113963885462482,0.015405712380411588,ecoli,margin
gamma_glyc,0.10242924701740946,0.02864210658340381,0.12084341393763554,0.015082265876479416,ecoli,margin
V_resp,0.024177021404916288,0.014516892812193477,0.025094186462490654,0.0025042320664365697,ecoli,margin
gamma_resp,0.0221429450597924,0.01345232687314158,0.02509346559927778,0.002289652756860878,ecoli,margin
Phi,0.0,0.0,0.0,0.0,ecoli,margin
u_G,0.7279498421660937,0.0749666298799635,0.776095275595698,0.0722605118329769,yeast,margin
V_glyc,0.0957683042150129,0.026056420567486333,0.1226417739399938,0.015574764778294671,yeast,margin
gamma_glyc,0.10368859271265009,0.029012850933745192,0.12234187582531977,0.015208931880058622,yeast,margin
V_resp,0.01839091563315675,0.012673585990682431,0.019112212691601793,0.0018997167738477863,yeast,margin
gamma_resp,0.016606379655704575,0.011763701850594612,0.01911166366838215,0.0017437115852364776,yeast,margin
Phi,0.0,0.0,0.0,0.0,yeast,margin
u_G,0.7428547406996802,0.0766213681411418,0.7919989192537435,0.07362508423604625,mammalian,margin
V_glyc,0.09771500474861172,0.02648369243773376,0.12515493325388752,0.015866203064789548,mammalian,margin
gamma_glyc,0.10579057465777965,0.029728731561433946,0.12484888966597138,0.01540399104978959,mammalian,margin
V_resp,0.008720689925814836,0.008743937131576285,0.009102115881418113,0.0008970967814001077,mammalian,margin
gamma_resp,0.007478914589201864,0.00813986972105692,0.009101854411276089,0.0008309051120990261,mammalian,margin
Phi,0.0,0.0,0.0,0.0,mammalian,margin
